"ICD","Description","ICA","LGPS","RF","Lasso"
"C253","Bösartige Neubildung: Ductus pancreaticus",1324,1337,2555,1838
"C269","Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Verdauungssystems",1324,1337,1332,1838
"C318","Bösartige Neubildung: Nasennebenhöhlen, mehrere Teilbereiche überlappend",1324,1337,2662,1838
"C411","Bösartige Neubildung des Knochens und des Gelenkknorpels: Unterkieferknochen",1324,1337,2474,1838
"C412","Bösartige Neubildung des Knochens und des Gelenkknorpels: Wirbelsäule",1324,1337,1484,1838
"C496","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Rumpfes, nicht näher bezeichnet",1324,1337,2605,1838
"C510","Bösartige Neubildung der Vulva: Labium majus",1324,1337,2517,1838
"C570","Bösartige Neubildung: Tuba uterina [Falloppio]",1324,1337,2703,1838
"C577","Bösartige Neubildung: Sonstige näher bezeichnete weibliche Genitalorgane",1324,1337,1346,1838
"C601","Bösartige Neubildung: Glans penis",1324,1337,2715,1838
"C715","Bösartige Neubildung: Hirnventrikel",1324,1337,1358,1838
"C717","Bösartige Neubildung: Hirnstamm",1324,1337,2540,1838
"C722","Bösartige Neubildung: Nn. olfactorii [I. Hirnnerv]",1324,1337,1126,1838
"C781","Sekundäre bösartige Neubildung des Mediastinums",1324,1337,955,1838
"C788","Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Verdauungsorgane",1324,1337,1362,1838
"C811","Nodulär-sklerosierendes (klassisches) Hodgkin-Lymphom",1324,1337,2948,1838
"C814","Lymphozytenreiches (klassisches) Hodgkin-Lymphom",1324,1337,1473,1838
"C817","Sonstige Typen des (klassischen) Hodgkin-Lymphoms",1324,1337,971,1838
"C829","Follikuläres Lymphom, nicht näher bezeichnet",1324,1337,2736,1838
"C852","Mediastinales (thymisches) großzelliges B-Zell-Lymphom",1324,1337,1305,1838
"C884","Extranodales Marginalzonen-B-Zell-Lymphom des Mukosa-assoziierten lymphatischen Gewebes [MALT-Lymphom]",1324,1337,3222,1838
"C914","Haarzellenleukämie",1324,1337,1441,1838
"C921","Chronische myeloische Leukämie [CML], BCR/ABL-positiv",1324,1337,2722,1838
"C966","Unifokale Langerhans-Zell-Histiozytose",1324,1337,2866,1838
"D032","Melanoma in situ des Ohres und des äußeren Gehörganges",1324,1337,1243,1838
"D037","Melanoma in situ der unteren Extremität, einschließlich Hüfte",1324,1337,1298,1838
"D038","Melanoma in situ an sonstigen Lokalisationen",1324,1337,1234,1838
"D045","Carcinoma in situ: Haut des Rumpfes",1324,1337,2524,1838
"D050","Lobuläres Carcinoma in situ der Brustdrüse",1324,1337,2607,1838
"D129","Gutartige Neubildung: Analkanal und Anus",1324,1337,1131,1838
"D150","Gutartige Neubildung: Thymus",1324,1337,1442,1838
"D160","Gutartige Neubildung des Knochens und des Gelenkknorpels: Skapula und lange Knochen der oberen Extremität",1324,1337,2934,1838
"D169","Gutartige Neubildung: Knochen und Gelenkknorpel, nicht näher bezeichnet",1324,1337,1357,1838
"D170","Gutartige Neubildung des Fettgewebes der Haut und der Unterhaut des Kopfes, des Gesichtes und des Halses",1324,1337,3202,1838
"D175","Gutartige Neubildung des Fettgewebes der intraabdominalen Organe",1324,1337,1148,1838
"D200","Gutartige Neubildung: Retroperitoneum",1324,1337,2535,1838
"D211","Sonstige gutartige Neubildungen: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter",1324,1337,1448,1838
"D231","Sonstige gutartige Neubildungen: Haut des Augenlides, einschließlich Kanthus",1324,1337,2645,1838
"D302","Gutartige Neubildung: Ureter",1324,1337,1413,1838
"D329","Gutartige Neubildung: Meningen, nicht näher bezeichnet",1324,1337,2672,1838
"D333","Gutartige Neubildung: Hirnnerven",1324,1337,2989,1838
"D361","Gutartige Neubildung: Periphere Nerven und autonomes Nervensystem",1324,1337,1410,1838
"D373","Neubildung unsicheren oder unbekannten Verhaltens: Appendix vermiformis",1324,1337,2619,1838
"D386","Neubildung unsicheren oder unbekannten Verhaltens: Atmungsorgan, nicht näher bezeichnet",1324,1337,1069,1838
"D390","Neubildung unsicheren oder unbekannten Verhaltens: Uterus",1324,1337,1176,1838
"D420","Neubildung unsicheren oder unbekannten Verhaltens: Hirnhäute",1324,1337,2932,1838
"D444","Neubildung unsicheren oder unbekannten Verhaltens: Ductus craniopharyngealis",1324,1337,2492,1838
"D449","Neubildung unsicheren oder unbekannten Verhaltens: Endokrine Drüse, nicht näher bezeichnet",1324,1337,1164,1838
"D461","Refraktäre Anämie mit Ringsideroblasten",1324,1337,1423,1838
"D465","Refraktäre Anämie mit Mehrlinien-Dysplasie",1324,1337,911,1838
"D475","Chronische Eosinophilen-Leukämie [Hypereosinophiles Syndrom]",1324,1337,2885,1838
"D483","Neubildung unsicheren oder unbekannten Verhaltens: Retroperitoneum",1324,1337,1281,1838
"D510","Vitamin-B12-Mangelanämie durch Mangel an Intrinsic-Faktor",1324,1337,3161,1838
"D511","Vitamin-B12-Mangelanämie durch selektive Vitamin-B12-Malabsorption mit Proteinurie",1324,1337,3031,1838
"D513","Sonstige alimentäre Vitamin-B12-Mangelanämie",1324,1337,2873,1838
"D539","Alimentäre Anämie, nicht näher bezeichnet",1324,1337,2759,1838
"D558","Sonstige Anämien durch Enzymdefekte",1324,1337,2861,1838
"D66","Hereditärer Faktor-VIII-Mangel",1324,1337,1418,1838
"D682","Hereditärer Mangel an sonstigen Gerinnungsfaktoren",1324,1337,1102,1838
"D688","Sonstige näher bezeichnete Koagulopathien",1324,1337,2926,1838
"D692","Sonstige nichtthrombozytopenische Purpura",1324,1337,1276,1838
"D698","Sonstige näher bezeichnete hämorrhagische Diathesen",1324,1337,2675,1838
"D707","Neutropenie, nicht näher bezeichnet",1324,1337,1065,1838
"D734","Zyste der Milz",1324,1337,1024,1838
"D801","Nichtfamiliäre Hypogammaglobulinämie",1324,1337,2536,1838
"D841","Defekte im Komplementsystem",1324,1337,2551,1838
"D863","Sarkoidose der Haut",1324,1337,1142,1838
"D90","Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen",1324,1337,2695,1838
"E063","Autoimmunthyreoiditis",1324,1337,2746,1838
"E100","Diabetes mellitus, Typ 1: Mit Koma",1324,1337,929,1838
"E108","Diabetes mellitus, Typ 1: Mit nicht näher bezeichneten Komplikationen",1324,1337,862,1838
"E131","Sonstiger näher bezeichneter Diabetes mellitus: Mit Ketoazidose",1324,1337,1411,1838
"E132","Sonstiger näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen",1324,1337,1457,1838
"E134","Sonstiger näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen",1324,1337,2819,1838
"E144","Nicht näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen",1324,1337,2769,1838
"E15","Hypoglykämisches Koma, nichtdiabetisch",1324,1337,1438,1838
"E161","Sonstige Hypoglykämie",1324,1337,2774,1838
"E440","Mäßige Energie- und Eiweißmangelernährung",1324,1337,2681,1838
"E46","Nicht näher bezeichnete Energie- und Eiweißmangelernährung",1324,1337,1266,1838
"E638","Sonstige näher bezeichnete alimentäre Mangelzustände",1324,1337,2621,1838
"E738","Sonstige Laktoseintoleranz",1324,1337,2633,1838
"E739","Laktoseintoleranz, nicht näher bezeichnet",1324,1337,3194,1838
"E831","Störungen des Eisenstoffwechsels",1324,1337,3094,1838
"E889","Stoffwechselstörung, nicht näher bezeichnet",1324,1337,766,1838
"E892","Hypoparathyreoidismus nach medizinischen Maßnahmen",1324,1337,2488,1838
"F09","Nicht näher bezeichnete organische oder symptomatische psychische Störung",1324,1337,2791,1838
"F105","Psychische und Verhaltensstörungen durch Alkohol: Psychotische Störung",1324,1337,2806,1838
"F108","Psychische und Verhaltensstörungen durch Alkohol: Sonstige psychische und Verhaltensstörungen",1324,1337,1145,1838
"F130","Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika: Akute Intoxikation [akuter Rausch]",1324,1337,1491,1838
"F138","Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika: Sonstige psychische und Verhaltensstörungen",1324,1337,2698,1838
"F21","Schizotype Störung",1324,1337,1261,1838
"F230","Akute polymorphe psychotische Störung ohne Symptome einer Schizophrenie",1324,1337,3153,1838
"F24","Induzierte wahnhafte Störung",1324,1337,2892,1838
"F300","Hypomanie",1324,1337,2991,1838
"F302","Manie mit psychotischen Symptomen",1324,1337,2704,1838
"F312","Bipolare affektive Störung, gegenwärtig manische Episode mit psychotischen Symptomen",1324,1337,1282,1838
"F313","Bipolare affektive Störung, gegenwärtig leichte oder mittelgradige depressive Episode",1324,1337,3146,1838
"F319","Bipolare affektive Störung, nicht näher bezeichnet",1324,1337,1135,1838
"F338","Sonstige rezidivierende depressive Störungen",1324,1337,2522,1838
"F401","Soziale Phobien",1324,1337,2910,1838
"F422","Zwangsgedanken und -handlungen, gemischt",1324,1337,2557,1838
"F459","Somatoforme Störung, nicht näher bezeichnet",1324,1337,1402,1838
"F480","Neurasthenie",1324,1337,2799,1838
"F488","Sonstige neurotische Störungen",1324,1337,1366,1838
"F502","Bulimia nervosa",1324,1337,2852,1838
"F509","Essstörung, nicht näher bezeichnet",1324,1337,2809,1838
"F54","Psychologische Faktoren oder Verhaltensfaktoren bei anderenorts klassifizierten Krankheiten",1324,1337,2573,1838
"F558","Schädlicher Gebrauch von nichtabhängigkeitserzeugenden Substanzen: Sonstige Substanzen",1324,1337,1455,1838
"F605","Anankastische [zwanghafte] Persönlichkeitsstörung",1324,1337,1138,1838
"F61","Kombinierte und andere Persönlichkeitsstörungen",1324,1337,2942,1838
"F639","Abnorme Gewohnheit und Störung der Impulskontrolle, nicht näher bezeichnet",1324,1337,2880,1838
"F908","Sonstige hyperkinetische Störungen",1324,1337,2575,1838
"F99","Psychische Störung ohne nähere Angabe",1324,1337,2578,1838
"G118","Sonstige hereditäre Ataxien",1324,1337,1238,1838
"G210","Malignes Neuroleptika-Syndrom",1324,1337,1443,1838
"G211","Sonstiges arzneimittelinduziertes Parkinson-Syndrom",1324,1337,2528,1838
"G233","",1324,1337,1280,1838
"G238","Sonstige näher bezeichnete degenerative Krankheiten der Basalganglien",1324,1337,2639,1838
"G242","Idiopathische nichtfamiliäre Dystonie",1324,1337,1070,1838
"G253","Myoklonus",1324,1337,3252,1838
"G259","Extrapyramidale Krankheit oder Bewegungsstörung, nicht näher bezeichnet",1324,1337,2693,1838
"G360","Neuromyelitis optica [Devic-Krankheit]",1324,1337,1244,1838
"G438","Sonstige Migräne",1324,1337,1343,1838
"G440","Cluster-Kopfschmerz",1324,1337,2493,1838
"G443","Chronischer posttraumatischer Kopfschmerz",1324,1337,1433,1838
"G472","Störungen des Schlaf-Wach-Rhythmus",1324,1337,2949,1838
"G478","Sonstige Schlafstörungen",1324,1337,2971,1838
"G521","Krankheiten des N. glossopharyngeus [IX. Hirnnerv]",1324,1337,1345,1838
"G523","Krankheiten des N. hypoglossus [XII. Hirnnerv]",1324,1337,1485,1838
"G546","Phantomschmerz",1324,1337,1253,1838
"G549","Krankheit von Nervenwurzeln und Nervenplexus, nicht näher bezeichnet",1324,1337,2764,1838
"G576","Läsion des N. plantaris",1324,1337,1309,1838
"G589","Mononeuropathie, nicht näher bezeichnet",1324,1337,2518,1838
"G600","Hereditäre sensomotorische Neuropathie",1324,1337,895,1838
"G619","Polyneuritis, nicht näher bezeichnet",1324,1337,1984.5,1838
"G834","Cauda- (equina-) Syndrom",1324,1337,1003,1838
"G839","Lähmungssyndrom, nicht näher bezeichnet",1324,1337,1469,1838
"G909","Krankheit des autonomen Nervensystems, nicht näher bezeichnet",1324,1337,2831,1838
"G92","Toxische Enzephalopathie",1324,1337,957,1838
"G930","Hirnzysten",1324,1337,2835,1838
"G935","Compressio cerebri",1324,1337,1327,1838
"G98","Sonstige Krankheiten des Nervensystems, anderenorts nicht klassifiziert",1324,1337,1487,1838
"H001","Chalazion",1324,1337,1422,1838
"H050","Akute Entzündung der Orbita",1324,1337,2611,1838
"H051","Chronische entzündliche Affektionen der Orbita",1324,1337,2509,1838
"H113","Blutung der Konjunktiva",1324,1337,1285,1838
"H162","Keratokonjunktivitis",1324,1337,2483,1838
"H183","Veränderungen an den Hornhautmembranen",1324,1337,1271,1838
"H187","Sonstige Hornhautdeformitäten",1324,1337,2560,1838
"H214","Pupillarmembranen",1324,1337,1274,1838
"H261","Cataracta traumatica",1324,1337,871,1838
"H264","Cataracta secundaria",1324,1337,3149,1838
"H309","Chorioretinitis, nicht näher bezeichnet",1324,1337,1232,1838
"H314","Ablatio chorioideae",1324,1337,2516,1838
"H331","Retinoschisis und Zysten der Netzhaut",1324,1337,1198,1838
"H404","Glaukom (sekundär) nach Entzündung des Auges",1324,1337,2580,1838
"H473","Sonstige Affektionen der Papille",1324,1337,2623,1838
"H533","Sonstige Störungen des binokularen Sehens",1324,1337,2834,1838
"H540","Blindheit und hochgradige Sehbehinderung, binokular",1324,1337,2627,1838
"H545","Schwere Sehbeeinträchtigung, monokular",1324,1337,1044,1838
"H55","Nystagmus und sonstige abnorme Augenbewegungen",1324,1337,2565,1838
"H604","Cholesteatom im äußeren Ohr",1324,1337,3029,1838
"H610","Perichondritis des äußeren Ohres",1324,1337,3060,1838
"H613","Erworbene Stenose des äußeren Gehörganges",1324,1337,1162,1838
"H653","Chronische muköse Otitis media",1324,1337,1209,1838
"H669","Otitis media, nicht näher bezeichnet",1324,1337,1171,1838
"H720","Zentrale Perforation des Trommelfells",1324,1337,3238,1838
"H742","Kontinuitätsunterbrechung oder Dislokation der Gehörknöchelchenkette",1324,1337,1454,1838
"H832","Funktionsstörung des Labyrinths",1324,1337,2684,1838
"H833","Lärmschädigungen des Innenohres",1324,1337,1166,1838
"H905","Hörverlust durch Schallempfindungsstörung, nicht näher bezeichnet",1324,1337,3250,1838
"H918","Sonstiger näher bezeichneter Hörverlust",1324,1337,3260,1838
"H922","Blutung aus dem äußeren Gehörgang",1324,1337,2945,1838
"H951","Sonstige Krankheiten nach Mastoidektomie",1324,1337,3359,1838
"I011","Akute rheumatische Endokarditis",1324,1337,2656,1838
"I082","Krankheiten der Aorten- und Trikuspidalklappe, kombiniert",1324,1337,2797,1838
"I088","Sonstige Krankheiten mehrerer Herzklappen",1324,1337,2577,1838
"I150","Renovaskuläre Hypertonie",1324,1337,1295,1838
"I238","Sonstige akute Komplikationen nach akutem Myokardinfarkt",1324,1337,1210,1838
"I515","Myokarddegeneration",1324,1337,1314,1838
"I518","Sonstige ungenau bezeichnete Herzkrankheiten",1324,1337,3017,1838
"I603","Subarachnoidalblutung, von der A. communicans posterior ausgehend",1324,1337,2793,1838
"I662","Verschluss und Stenose der A. cerebri posterior",1324,1337,2694,1838
"I663","Verschluss und Stenose der Aa. cerebelli",1324,1337,2508,1838
"I691","Folgen einer intrazerebralen Blutung",1324,1337,2997,1838
"I692","Folgen einer sonstigen nichttraumatischen intrakraniellen Blutung",1324,1337,2547,1838
"I721","Aneurysma und Dissektion einer Arterie der oberen Extremität",1324,1337,2787,1838
"I725","Aneurysma und Dissektion sonstiger präzerebraler Arterien",1324,1337,1050,1838
"I748","Embolie und Thrombose sonstiger Arterien",1324,1337,1256,1838
"I864","Magenvarizen",1324,1337,3081,1838
"I888","Sonstige unspezifische Lymphadenitis",1324,1337,982,1838
"I979","Kreislaufkomplikation nach medizinischer Maßnahme, nicht näher bezeichnet",1324,1337,2610,1838
"J038","Akute Tonsillitis durch sonstige näher bezeichnete Erreger",1324,1337,1371,1838
"J039","Akute Tonsillitis, nicht näher bezeichnet",1324,1337,1273,1838
"J060","Akute Laryngopharyngitis",1324,1337,3167,1838
"J121","Pneumonie durch Respiratory-Syncytial-Viren [RS-Viren]",1324,1337,2686,1838
"J202","Akute Bronchitis durch Streptokokken",1324,1337,3076,1838
"J205","Akute Bronchitis durch Respiratory-Syncytial-Viren [RS-Viren]",1324,1337,2734,1838
"J321","Chronische Sinusitis frontalis",1324,1337,1385,1838
"J323","Chronische Sinusitis sphenoidalis",1324,1337,1082,1838
"J329","Chronische Sinusitis, nicht näher bezeichnet",1324,1337,1336,1838
"J340","Abszess, Furunkel und Karbunkel der Nase",1324,1337,2593,1838
"J341","Zyste oder Mukozele der Nase und der Nasennebenhöhle",1324,1337,1326,1838
"J381","Polyp der Stimmlippen und des Kehlkopfes",1324,1337,1151,1838
"J398","Sonstige näher bezeichnete Krankheiten der oberen Atemwege",1324,1337,2977,1838
"J432","Zentrilobuläres Emphysem",1324,1337,2843,1838
"J46","Status asthmaticus",1324,1337,2895,1838
"J633","Graphitfibrose (Lunge)",1324,1337,786,1838
"J672","Vogelzüchterlunge",1324,1337,3093,1838
"J678","Allergische Alveolitis durch organische Stäube",1324,1337,2825,1838
"J688","Sonstige Krankheiten der Atmungsorgane durch chemische Substanzen, Gase, Rauch und Dämpfe",1324,1337,2935,1838
"J701","Chronische und sonstige Lungenbeteiligung bei Strahleneinwirkung",1324,1337,2974,1838
"J80","Atemnotsyndrom des Erwachsenen [ARDS]",1324,1337,2927,1838
"J852","Abszess der Lunge ohne Pneumonie",1324,1337,1229,1838
"J930","Spontaner Spannungspneumothorax",1324,1337,2856,1838
"J948","Sonstige näher bezeichnete Krankheitszustände der Pleura",1324,1337,3121,1838
"J980","Krankheiten der Bronchien, anderenorts nicht klassifiziert",1324,1337,2480,1838
"K029","Zahnkaries, nicht näher bezeichnet",1324,1337,1264,1838
"K049","Sonstige und nicht näher bezeichnete Krankheiten der Pulpa und des periapikalen Gewebes",1324,1337,2756,1838
"K076","Krankheiten des Kiefergelenkes",1324,1337,1035,1838
"K082","Atrophie des zahnlosen Alveolarkammes",1324,1337,2803,1838
"K092","Sonstige Kieferzysten",1324,1337,1471,1838
"K108","Sonstige näher bezeichnete Krankheiten der Kiefer",1324,1337,2566,1838
"K121","Sonstige Formen der Stomatitis",1324,1337,2887,1838
"K136","Irritative Hyperplasie der Mundschleimhaut",1324,1337,2558,1838
"K137","Sonstige und nicht näher bezeichnete Läsionen der Mundschleimhaut",1324,1337,3059,1838
"K143","Hypertrophie der Zungenpapillen",1324,1337,1245,1838
"K257","Ulcus ventriculi: Chronisch, ohne Blutung oder Perforation",1324,1337,1116,1838
"K261","Ulcus duodeni: Akut, mit Perforation",1324,1337,1375,1838
"K264","Ulcus duodeni: Chronisch oder nicht näher bezeichnet, mit Blutung",1324,1337,2921,1838
"K267","Ulcus duodeni: Chronisch, ohne Blutung oder Perforation",1324,1337,1039,1838
"K285","Ulcus pepticum jejuni: Chronisch oder nicht näher bezeichnet, mit Perforation",1324,1337,2741,1838
"K401","Doppelseitige Hernia inguinalis mit Gangrän",1324,1337,3265,1838
"K414","Hernia femoralis, einseitig oder ohne Seitenangabe, mit Gangrän",1324,1337,1001,1838
"K421","Hernia umbilicalis mit Gangrän",1324,1337,2838,1838
"K441","Hernia diaphragmatica mit Gangrän",1324,1337,1156,1838
"K514","Inflammatorische Polypen des Kolons",1324,1337,1099,1838
"K580","Reizdarmsyndrom mit Diarrhoe",1324,1337,1191,1838
"K613","Ischiorektalabszess",1324,1337,3448,1838
"K620","Analpolyp",1324,1337,2821,1838
"K629","Krankheit des Anus und des Rektums, nicht näher bezeichnet",1324,1337,2842,1838
"K630","Darmabszess",1324,1337,2631,1838
"K701","Alkoholische Hepatitis",1324,1337,1227,1838
"K704","Alkoholisches Leberversagen",1324,1337,3177,1838
"K712","Toxische Leberkrankheit mit akuter Hepatitis",1324,1337,2879,1838
"K713","Toxische Leberkrankheit mit chronisch-persistierender Hepatitis",1324,1337,1355,1838
"K730","Chronische persistierende Hepatitis, anderenorts nicht klassifiziert",1324,1337,1089,1838
"K759","Entzündliche Leberkrankheit, nicht näher bezeichnet",1324,1337,1394,1838
"K765","Venöse okklusive Leberkrankheit [Stuart-Bras-Syndrom]",1324,1337,3221,1838
"K832","Perforation des Gallenganges",1324,1337,2680,1838
"K834","Spasmus des Sphinkter Oddi",1324,1337,1184,1838
"K863","Pseudozyste des Pankreas",1324,1337,2750,1838
"K910","Erbrechen nach gastrointestinalem chirurgischem Eingriff",1324,1337,2870,1838
"L000","Staphylococcal scalded skin syndrome [SSS-Syndrom]: Befall von weniger als 30 % der Körperoberfläche",1324,1337,2804,1838
"L029","Hautabszess, Furunkel und Karbunkel, nicht näher bezeichnet",1324,1337,2718,1838
"L038","Phlegmone an sonstigen Lokalisationen",1324,1337,3463,1838
"L048","Akute Lymphadenitis an sonstigen Lokalisationen",1324,1337,2808,1838
"L050","Pilonidalzyste mit Abszess",1324,1337,2484,1838
"L059","Pilonidalzyste ohne Abszess",1324,1337,2960,1838
"L080","Pyodermie",1324,1337,1391,1838
"L088","Sonstige näher bezeichnete lokale Infektionen der Haut und der Unterhaut",1324,1337,2556,1838
"L111","Transitorische akantholytische Dermatose [Grover]",1324,1337,2489,1838
"L128","Sonstige Pemphigoidkrankheiten",1324,1337,2505,1838
"L251","Nicht näher bezeichnete Kontaktdermatitis durch Drogen oder Arzneimittel bei Hautkontakt",1324,1337,1477,1838
"L299","Pruritus, nicht näher bezeichnet",1324,1337,2801,1838
"L300","Nummuläres Ekzem",1324,1337,1021,1838
"L301","Dyshidrosis [Pompholyx]",1324,1337,1432,1838
"L304","Intertriginöses Ekzem",1324,1337,1215,1838
"L404","Psoriasis guttata",1324,1337,2507,1838
"L500","Allergische Urtikaria",1324,1337,2940,1838
"L510","Nichtbullöses Erythema exsudativum multiforme",1324,1337,1479,1838
"L511","Bullöses Erythema exsudativum multiforme",1324,1337,1008,1838
"L531","Erythema anulare centrifugum",1324,1337,2965,1838
"L564","Polymorphe Lichtdermatose",1324,1337,2587,1838
"L581","Chronische Radiodermatitis",1324,1337,2629,1838
"L858","Sonstige näher bezeichnete Epidermisverdickungen",1324,1337,2661,1838
"L899","Dekubitus, Grad nicht näher bezeichnet",1324,1337,1472,1838
"L910","Hypertrophe Narbe",1324,1337,2938,1838
"L920","Granuloma anulare",1324,1337,1246,1838
"L930","Diskoider Lupus erythematodes",1324,1337,3266,1838
"L931","Subakuter Lupus erythematodes cutaneus",1324,1337,2682,1838
"L989","Krankheit der Haut und der Unterhaut, nicht näher bezeichnet",1324,1337,2523,1838
"M051","Lungenmanifestation der seropositiven chronischen Polyarthritis",1324,1337,2896,1838
"M052","Vaskulitis bei seropositiver chronischer Polyarthritis",1324,1337,2728,1838
"M063","Rheumaknoten",1324,1337,2796,1838
"M064","Entzündliche Polyarthropathie",1324,1337,2786,1838
"M103","Gicht durch Nierenfunktionsstörung",1324,1337,2496,1838
"M119","Kristall-Arthropathie, nicht näher bezeichnet",1324,1337,1150,1838
"M120","Chronische postrheumatische Arthritis [Jaccoud-Arthritis]",1324,1337,2654,1838
"M150","Primäre generalisierte (Osteo-) Arthrose",1324,1337,2839,1838
"M189","Rhizarthrose, nicht näher bezeichnet",1324,1337,2655,1838
"M210","Valgusdeformität, anderenorts nicht klassifiziert",1324,1337,2795,1838
"M222","Krankheiten im Patellofemoralbereich",1324,1337,1453,1838
"M224","Chondromalacia patellae",1324,1337,1404,1838
"M230","Meniskusganglion",1324,1337,1363,1838
"M239","Binnenschädigung des Kniegelenkes, nicht näher bezeichnet",1324,1337,961,1838
"M253","Sonstige Instabilität eines Gelenkes",1324,1337,2962,1838
"M332","Polymyositis",1324,1337,2657,1838
"M419","Skoliose, nicht näher bezeichnet",1324,1337,1369,1838
"M432","Sonstige Wirbelfusion",1324,1337,1117,1838
"M530","Zervikozephales Syndrom",1324,1337,2894,1838
"M608","Sonstige Myositis",1324,1337,3135,1838
"M610","Traumatische Myositis ossificans",1324,1337,1249,1838
"M650","Sehnenscheidenabszess",1324,1337,1153,1838
"M722","Fibromatose der Plantarfaszie [Ledderhose-Kontraktur]",1324,1337,1055,1838
"M760","Tendinitis der Glutäus-Sehne(n)",1324,1337,1170,1838
"M763","Tractus-iliotibialis-Scheuersyndrom [Iliotibial band syndrome]",1324,1337,1068,1838
"M793","Pannikulitis, nicht näher bezeichnet",1324,1337,3067,1838
"M794","Hypertrophie des Corpus adiposum (infrapatellare) [Hoffa-Kastert-Syndrom]",1324,1337,2618,1838
"M848","Sonstige Veränderungen der Knochenkontinuität",1324,1337,978,1838
"M938","Sonstige näher bezeichnete Osteochondropathien",1324,1337,3004,1838
"M948","Sonstige näher bezeichnete Knorpelkrankheiten",1324,1337,958,1838
"M949","Knorpelkrankheit, nicht näher bezeichnet",1324,1337,872,1838
"M950","Erworbene Deformität der Nase",1324,1337,1098,1838
"M993","Knöcherne Stenose des Spinalkanals",1324,1337,1492,1838
"M995","Stenose des Spinalkanals durch Bandscheiben",1324,1337,2667,1838
"N041","Nephrotisches Syndrom: Fokale und segmentale glomeruläre Läsionen",1324,1337,1480,1838
"N049","Nephrotisches Syndrom: Art der morphologischen Veränderung nicht näher bezeichnet",1324,1337,3291,1838
"N050","Nicht näher bezeichnetes nephritisches Syndrom: Minimale glomeruläre Läsion",1324,1337,2766,1838
"N059","Nicht näher bezeichnetes nephritisches Syndrom: Art der morphologischen Veränderung nicht näher bezeichnet",1324,1337,2735,1838
"N062","Isolierte Proteinurie mit Angabe morphologischer Veränderungen: Diffuse membranöse Glomerulonephritis",1324,1337,1217,1838
"N188","Sonstige chronische Nierenkrankheit",1324,1337,3064,1838
"N258","Sonstige Krankheiten infolge Schädigung der tubulären Nierenfunktion",1324,1337,1458,1838
"N26","Schrumpfniere, nicht näher bezeichnet",1324,1337,1239,1838
"N322","Harnblasenfistel, anderenorts nicht klassifiziert",1324,1337,2687,1838
"N360","Harnröhrenfistel",1324,1337,1087,1838
"N411","Chronische Prostatitis",1324,1337,1372,1838
"N412","Prostataabszess",1324,1337,1397,1838
"N419","Entzündliche Krankheit der Prostata, nicht näher bezeichnet",1324,1337,3524,1838
"N430","Funikulozele",1324,1337,2709,1838
"N484","Impotenz organischen Ursprungs",1324,1337,3179,1838
"N498","Entzündliche Krankheiten sonstiger näher bezeichneter männlicher Genitalorgane",1324,1337,2770,1838
"N641","Fettgewebsnekrose der Mamma",1324,1337,2513,1838
"N711","Chronische entzündliche Krankheit des Uterus, ausgenommen der Zervix",1324,1337,2632,1838
"N801","Endometriose des Ovars",1324,1337,1387,1838
"N803","Endometriose des Beckenperitoneums",1324,1337,3523,1838
"N857","Hämatometra",1324,1337,1490,1838
"N858","Sonstige näher bezeichnete nichtentzündliche Krankheiten des Uterus",1324,1337,948,1838
"N908","Sonstige näher bezeichnete nichtentzündliche Krankheiten der Vulva und des Perineums",1324,1337,2723,1838
"N921","Zu starke oder zu häufige Menstruation bei unregelmäßigem Menstruationszyklus",1324,1337,896,1838
"O031","Spontanabort: Inkomplett, kompliziert durch Spätblutung oder verstärkte Blutung",1324,1337,1334,1838
"O044","Ärztlich eingeleiteter Abort: Inkomplett, ohne Komplikation",1324,1337,910,1838
"O049","Ärztlich eingeleiteter Abort: Komplett oder nicht näher bezeichnet, ohne Komplikation",1324,1337,822,1838
"O050","Sonstiger Abort: Inkomplett, kompliziert durch Infektion des Genitaltraktes und des Beckens",1324,1337,2730,1838
"O059","Sonstiger Abort: Komplett oder nicht näher bezeichnet, ohne Komplikation",1324,1337,820,1838
"O061","Nicht näher bezeichneter Abort: Inkomplett, kompliziert durch Spätblutung oder verstärkte Blutung",1324,1337,2647,1838
"O081","Spätblutung oder verstärkte Blutung nach Abort, Extrauteringravidität und Molenschwangerschaft",1324,1337,843,1838
"O100","Vorher bestehende essentielle Hypertonie, die Schwangerschaft, Geburt und Wochenbett kompliziert",1324,1337,2851,1838
"O120","Schwangerschaftsödeme",1324,1337,3176,1838
"O121","Schwangerschaftsproteinurie",1324,1337,950,1838
"O140","Leichte bis mäßige Präeklampsie",1324,1337,2499,1838
"O142","HELLP-Syndrom",1324,1337,1057,1838
