"ICD","Description","ICA","LGPS","RF","Lasso"
"D686","Sonstige Thrombophilien",1108,1111,2773,1338
"E512","Wernicke-Enzephalopathie",1108,1111,3240,3620
"F122","Psychische und Verhaltensstörungen durch Cannabinoide: Abhängigkeitssyndrom",1108,1111,3154,3466.5
"G419","Status epilepticus, nicht näher bezeichnet",1108,1111,2647,2733.5
"G831","Monoparese und Monoplegie einer unteren Extremität",1108,1111,1617,3089.5
"H604","Cholesteatom im äußeren Ohr",1108,1111,1240,3388.5
"I241","Postmyokardinfarkt-Syndrom",1108,1111,2984,2990
"I348","Sonstige nichtrheumatische Mitralklappenkrankheiten",1108,1111,3105,3581.5
"I748","Embolie und Thrombose sonstiger Arterien",1108,1111,3173,3620
"J010","Akute Sinusitis maxillaris",1108,1111,1316,3466.5
"J679","Allergische Alveolitis durch nicht näher bezeichneten organischen Staub",1108,1111,3163,2348.5
"K265","Ulcus duodeni: Chronisch oder nicht näher bezeichnet, mit Perforation",1108,1111,2522,2810.5
"K822","Perforation der Gallenblase",1108,1111,2540,3388.5
"L021","Hautabszess, Furunkel und Karbunkel am Hals",1108,1111,2421,3388.5
"M084","Juvenile chronische Arthritis, oligoartikuläre Form",1108,1111,3103,3620
"M104","Sonstige sekundäre Gicht",1108,1111,3003,3310.5
"M112","Sonstige Chondrokalzinose",1108,1111,1313,3533.5
"M159","Polyarthrose, nicht näher bezeichnet",1108,1111,3339,3466.5
"M174","Sonstige sekundäre Gonarthrose, beidseitig",1108,1111,2960,3310.5
"M469","Entzündliche Spondylopathie, nicht näher bezeichnet",1108,1111,2798,2990
"M621","Sonstiger Muskelriss (nichttraumatisch)",1108,1111,3072,2810.5
"M728","Sonstige Fibromatosen",1108,1111,1455,2990
"M802","Inaktivitätsosteoporose mit pathologischer Fraktur",1108,1111,2792,2896
"M949","Knorpelkrankheit, nicht näher bezeichnet",1108,1111,3070,3466.5
"M969","Krankheit des Muskel-Skelett-Systems nach medizinischen Maßnahmen, nicht näher bezeichnet",1108,1111,3081,3533.5
"N19","Nicht näher bezeichnete Niereninsuffizienz",1108,1111,2898,2990
"N736","Peritoneale Adhäsionen im weiblichen Becken",1108,1111,1203,2896
"N815","Vaginale Enterozele",1108,1111,1154,2029
"N998","Sonstige Krankheiten des Urogenitalsystems nach medizinischen Maßnahmen",1108,1111,3015,3620
"O300","Zwillingsschwangerschaft",1108,1111,1661,3310.5
"O343","Betreuung der Mutter bei Zervixinsuffizienz",1108,1111,3336,3205.5
"O410","Oligohydramnion",1108,1111,2270,2256.5
"O429","Vorzeitiger Blasensprung, nicht näher bezeichnet",1108,1111,1440,3388.5
"O995","Krankheiten des Atmungssystems, die Schwangerschaft, Geburt und Wochenbett komplizieren",1108,1111,2683,1682
"P071","Neugeborenes mit sonstigem niedrigem Geburtsgewicht",1108,1111,1635,2589.5
"P073","Sonstige vor dem Termin Geborene",1108,1111,3196,3466.5
"Q828","Sonstige näher bezeichnete angeborene Fehlbildungen der Haut",1108,1111,3018,3310.5
"R599","Lymphknotenvergrößerung, nicht näher bezeichnet",1108,1111,2785,2297
"R900","Intrakranielle Raumforderung",1108,1111,3144,3466.5
"S260","Traumatisches Hämoperikard",1108,1111,1463,3205.5
"S323","Fraktur des Os ilium",1108,1111,1119,3581.5
"S510","Offene Wunde des Ellenbogens",1108,1111,2648,2896
"S631","Luxation eines Fingers",1108,1111,1145,2348.5
"T093","Verletzung des Rückenmarkes, Höhe nicht näher bezeichnet",1108,1111,1476,3620
"T146","Verletzung von Muskeln und Sehnen an einer nicht näher bezeichneten Körperregion",1108,1111,1544,3310.5
"T202","Verbrennung 2. Grades des Kopfes und des Halses",1108,1111,1569,3581.5
"U522","Frührehabilitations-Barthel-Index: -200 bis -76 Punkte",1108,1111,1348,2348.5
"Z018","Sonstige näher bezeichnete spezielle Untersuchungen",1108,1111,2895,3466.5
"Z421","Nachbehandlung unter Anwendung plastischer Chirurgie der Mamma [Brustdrüse]",1108,1111,2964,2589.5
"Z514","Vorbereitung auf eine nachfolgende Behandlung, anderenorts nicht klassifiziert",1108,1111,2835,3466.5
"Z880","Allergie gegenüber Penicillin in der Eigenanamnese",1108,1111,2771,2733.5
"Z930","Vorhandensein eines Tracheostomas",1108,1111,2533,3581.5
"Z952","Vorhandensein einer künstlichen Herzklappe",1108,1111,1344,2896
"Z978","Vorhandensein sonstiger und nicht näher bezeichneter medizinischer Geräte oder Hilfsmittel",1108,1111,2313,2733.5
"C693","Bösartige Neubildung: Chorioidea",1136,1077,2881,2348.5
"M819","Osteoporose, nicht näher bezeichnet",1137,1081,1529,1754
"C171","Bösartige Neubildung: Jejunum",1138,1077,1209,2466
"E859","Amyloidose, nicht näher bezeichnet",1142,1145,3166,2990
"G900","Idiopathische periphere autonome Neuropathie",1142,1145,3340,3310.5
"K259","Ulcus ventriculi: Weder als akut noch als chronisch bezeichnet, ohne Blutung oder Perforation",1142,1145,1563,2659.5
"L930","Diskoider Lupus erythematodes",1142,1145,2365,3205.5
"M419","Skoliose, nicht näher bezeichnet",1142,1145,2620,2029
"R458","Sonstige Symptome, die die Stimmung betreffen",1142,1145,3094,3620
"T427","Vergiftung: Antiepileptika, Sedativa und Hypnotika, nicht näher bezeichnet",1142,1145,2296,3620
"A319","Infektion durch Mykobakterien, nicht näher bezeichnet",1209.5,1214.5,3049,3388.5
"A492","Infektion durch Haemophilus influenzae nicht näher bezeichneter Lokalisation",1209.5,1214.5,1404,3089.5
"B370","Candida-Stomatitis",1209.5,1214.5,2643,2117
"C131","Bösartige Neubildung: Aryepiglottische Falte, hypopharyngeale Seite",1209.5,1214.5,3248,3388.5
"C227","Sonstige näher bezeichnete Karzinome der Leber",1209.5,1214.5,2564,3310.5
"C257","Bösartige Neubildung: Sonstige Teile des Pankreas",1209.5,1214.5,2451,3089.5
"C410","Bösartige Neubildung des Knochens und des Gelenkknorpels: Knochen des Hirn- und Gesichtsschädels",1209.5,1214.5,2498,2589.5
"C412","Bösartige Neubildung des Knochens und des Gelenkknorpels: Wirbelsäule",1209.5,1214.5,3229,2896
"C511","Bösartige Neubildung der Vulva: Labium minus",1209.5,1214.5,2799,3089.5
"C714","Bösartige Neubildung: Okzipitallappen",1209.5,1214.5,1386,3533.5
"C715","Bösartige Neubildung: Hirnventrikel",1209.5,1214.5,2431,2589.5
"C784","Sekundäre bösartige Neubildung des Dünndarmes",1209.5,1214.5,3183,3533.5
"D043","Carcinoma in situ: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes",1209.5,1214.5,1184,2896
"D045","Carcinoma in situ: Haut des Rumpfes",1209.5,1214.5,2529,2990
"D049","Carcinoma in situ: Haut, nicht näher bezeichnet",1209.5,1214.5,2240,3089.5
"D107","Gutartige Neubildung: Hypopharynx",1209.5,1214.5,3207,3388.5
"D161","Gutartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der oberen Extremität",1209.5,1214.5,2584,3388.5
"D329","Gutartige Neubildung: Meningen, nicht näher bezeichnet",1209.5,1214.5,1651,1798
"D401","Neubildung unsicheren oder unbekannten Verhaltens: Hoden",1209.5,1214.5,1602,3310.5
"D513","Sonstige alimentäre Vitamin-B12-Mangelanämie",1209.5,1214.5,2342,3533.5
"D733","Abszess der Milz",1209.5,1214.5,2637,2659.5
"D869","Sarkoidose, nicht näher bezeichnet",1209.5,1214.5,1302,2589.5
"E011","Jodmangelbedingte mehrknotige Struma (endemisch)",1209.5,1214.5,1387,3089.5
"E137","Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen",1209.5,1214.5,2327,3205.5
"E15","Hypoglykämisches Koma, nichtdiabetisch",1209.5,1214.5,2946,2810.5
"E804","Gilbert-Meulengracht-Syndrom",1209.5,1214.5,2690,2990
"E889","Stoffwechselstörung, nicht näher bezeichnet",1209.5,1214.5,2886,3466.5
"F04","Organisches amnestisches Syndrom, nicht durch Alkohol oder andere psychotrope Substanzen bedingt",1209.5,1214.5,3104,3388.5
"F117","Psychische und Verhaltensstörungen durch Opioide: Restzustand und verzögert auftretende psychotische Störung",1209.5,1214.5,2704,2589.5
"F231","Akute polymorphe psychotische Störung mit Symptomen einer Schizophrenie",1209.5,1214.5,2663,2408.5
"F508","Sonstige Essstörungen",1209.5,1214.5,2852,1830.5
"F607","Abhängige (asthenische) Persönlichkeitsstörung",1209.5,1214.5,3368,3089.5
"G002","Streptokokkenmeningitis",1209.5,1214.5,3067,3310.5
"G009","Bakterielle Meningitis, nicht näher bezeichnet",1209.5,1214.5,1186,3205.5
"G238","Sonstige näher bezeichnete degenerative Krankheiten der Basalganglien",1209.5,1214.5,2924,3388.5
"G240","Arzneimittelinduzierte Dystonie",1209.5,1214.5,2407,2526
"G251","Arzneimittelinduzierter Tremor",1209.5,1214.5,2515,2057.5
"G545","Neuralgische Amyotrophie",1209.5,1214.5,2547,3388.5
"G600","Hereditäre sensomotorische Neuropathie",1209.5,1214.5,2629,2466
"G711","Myotone Syndrome",1209.5,1214.5,1570,3466.5
"H186","Keratokonus",1209.5,1214.5,3012,3388.5
"H350","Retinopathien des Augenhintergrundes und Veränderungen der Netzhautgefäße",1209.5,1214.5,2507,2733.5
"H532","Diplopie",1209.5,1214.5,2927,3205.5
"H654","Sonstige chronische nichteitrige Otitis media",1209.5,1214.5,1500,2466
"I152","Hypertonie als Folge von endokrinen Krankheiten",1209.5,1214.5,2866,2896
"I248","Sonstige Formen der akuten ischämischen Herzkrankheit",1209.5,1214.5,2936,3466.5
"I301","Infektiöse Perikarditis",1209.5,1214.5,3114,3466.5
"I443","Sonstiger und nicht näher bezeichneter atrioventrikulärer Block",1209.5,1214.5,2929,3205.5
"I636","Hirninfarkt durch Thrombose der Hirnvenen, nichteitrig",1209.5,1214.5,2492,3466.5
"I650","Verschluss und Stenose der A. vertebralis",1209.5,1214.5,2733,1958.5
"I674","Hypertensive Enzephalopathie",1209.5,1214.5,2276,2659.5
"I708","Atherosklerose sonstiger Arterien",1209.5,1214.5,3078,3466.5
"I715","Aortenaneurysma, thorakoabdominal, rupturiert",1209.5,1214.5,2678,3388.5
"J00","Akute Rhinopharyngitis [Erkältungsschnupfen]",1209.5,1214.5,2374,1984
"J218","Akute Bronchiolitis durch sonstige näher bezeichnete Erreger",1209.5,1214.5,2600,2589.5
"J370","Chronische Laryngitis",1209.5,1214.5,1539,3089.5
"J941","Fibrothorax",1209.5,1214.5,2742,3388.5
"K117","Störungen der Speichelsekretion",1209.5,1214.5,1259,3310.5
"K140","Glossitis",1209.5,1214.5,2863,3466.5
"K450","Sonstige näher bezeichnete abdominale Hernien mit Einklemmung, ohne Gangrän",1209.5,1214.5,2493,3388.5
"K523","Colitis indeterminata",1209.5,1214.5,2919,1703
"K613","Ischiorektalabszess",1209.5,1214.5,1279,3205.5
"K630","Darmabszess",1209.5,1214.5,2696,3533.5
"K908","Sonstige intestinale Malabsorption",1209.5,1214.5,1578,3310.5
"L028","Hautabszess, Furunkel und Karbunkel an sonstigen Lokalisationen",1209.5,1214.5,3004,2896
"L029","Hautabszess, Furunkel und Karbunkel, nicht näher bezeichnet",1209.5,1214.5,1134,2589.5
"L038","Phlegmone an sonstigen Lokalisationen",1209.5,1214.5,2477,3466.5
"L040","Akute Lymphadenitis an Gesicht, Kopf und Hals",1209.5,1214.5,1349,3466.5
"L259","Nicht näher bezeichnete Kontaktdermatitis, nicht näher bezeichnete Ursache",1209.5,1214.5,2824,3388.5
"L510","Nichtbullöses Erythema exsudativum multiforme",1209.5,1214.5,2815,3388.5
"L890","Dekubitus 1. Grades",1209.5,1214.5,2999,3388.5
"M064","Entzündliche Polyarthropathie",1209.5,1214.5,2783,3205.5
"M122","Villonoduläre Synovitis (pigmentiert)",1209.5,1214.5,3167,3533.5
"M130","Polyarthritis, nicht näher bezeichnet",1209.5,1214.5,1689,2990
"M217","Unterschiedliche Extremitätenlänge (erworben)",1209.5,1214.5,3217,2990
"M223","Sonstige Schädigungen der Patella",1209.5,1214.5,3201,3466.5
"M341","CR(E)ST-Syndrom",1209.5,1214.5,2829,3089.5
"M401","Sonstige sekundäre Kyphose",1209.5,1214.5,2900,2217.5
"M462","Wirbelosteomyelitis",1209.5,1214.5,1508,2526
"M471","Sonstige Spondylose mit Myelopathie",1209.5,1214.5,2956,3089.5
"M510","Lumbale und sonstige Bandscheibenschäden mit Myelopathie",1209.5,1214.5,2737,3466.5
"M530","Zervikozephales Syndrom",1209.5,1214.5,3445,2896
"M650","Sehnenscheidenabszess",1209.5,1214.5,2671,3205.5
"M715","Sonstige Bursitis, anderenorts nicht klassifiziert",1209.5,1214.5,1407,3388.5
"M926","Juvenile Osteochondrose des Tarsus",1209.5,1214.5,3352,3205.5
"M997","Stenose der Foramina intervertebralia, bindegewebig oder durch Bandscheiben",1209.5,1214.5,2471,3466.5
"N209","Harnstein, nicht näher bezeichnet",1209.5,1214.5,3193,3466.5
"N411","Chronische Prostatitis",1209.5,1214.5,1413,3089.5
"N601","Diffuse zystische Mastopathie",1209.5,1214.5,1071,3310.5
"N701","Chronische Salpingitis und Oophoritis",1209.5,1214.5,1329,2733.5
"O031","Spontanabort: Inkomplett, kompliziert durch Spätblutung oder verstärkte Blutung",1209.5,1214.5,1218,2990
"O140","Leichte bis mäßige Präeklampsie",1209.5,1214.5,2246,1338
"O142","HELLP-Syndrom",1209.5,1214.5,2265,2810.5
"O321","Betreuung der Mutter wegen Beckenendlage",1209.5,1214.5,2502,1338
"O335","Betreuung der Mutter bei Missverhältnis durch ungewöhnlich großen Feten",1209.5,1214.5,1287,1676
"O641","Geburtshindernis durch Beckenendlage",1209.5,1214.5,1450,1798
"O655","Geburtshindernis durch Anomalie der mütterlichen Beckenorgane",1209.5,1214.5,2959,2990
"O681","Komplikationen bei Wehen und Entbindung durch Mekonium im Fruchtwasser",1209.5,1214.5,3205,2659.5
"O683","Komplikationen bei Wehen und Entbindung durch fetalen Distress, biochemisch nachgewiesen",1209.5,1214.5,2941,2184
"O85","Puerperalfieber",1209.5,1214.5,1426,1714.5
"O882","Thromboembolie während der Gestationsperiode",1209.5,1214.5,1517,1338
"O912","Nichteitrige Mastitis im Zusammenhang mit der Gestation",1209.5,1214.5,2703,1338
"P081","Sonstige für das Gestationsalter zu schwere Neugeborene",1209.5,1214.5,2430,2589.5
"Q268","Sonstige angeborene Fehlbildungen der großen Venen",1209.5,1214.5,3083,3466.5
"R278","Sonstige und nicht näher bezeichnete Koordinationsstörungen",1209.5,1214.5,2623,1338
"R529","Schmerz, nicht näher bezeichnet",1209.5,1214.5,1336,3089.5
"R730","Abnormer Glukosetoleranztest",1209.5,1214.5,2552,2348.5
"R92","Abnorme Befunde bei der bildgebenden Diagnostik der Mamma [Brustdrüse]",1209.5,1214.5,1171,2589.5
"R934","Abnorme Befunde bei der bildgebenden Diagnostik der Harnorgane",1209.5,1214.5,1149,2810.5
"S053","Rissverletzung des Auges ohne Prolaps oder Verlust intraokularen Gewebes",1209.5,1214.5,2970,2217.5
"S061","Traumatisches Hirnödem",1209.5,1214.5,2793,3310.5
"S136","Verstauchung und Zerrung von Gelenken und Bändern sonstiger und nicht näher bezeichneter Teile des Halses",1209.5,1214.5,2894,3466.5
"S663","Verletzung der Streckmuskeln und -sehnen sonstiger Finger in Höhe des Handgelenkes und der Hand",1209.5,1214.5,1295,3205.5
"S763","Verletzung von Muskeln und Sehnen der posterioren Muskelgruppe in Höhe des Oberschenkels",1209.5,1214.5,2882,3533.5
"S764","Verletzung sonstiger und nicht näher bezeichneter Muskeln und Sehnen in Höhe des Oberschenkels",1209.5,1214.5,1286,2810.5
"S861","Verletzung sonstiger Muskeln und Sehnen der posterioren Muskelgruppe in Höhe des Unterschenkels",1209.5,1214.5,1299,3466.5
"T090","Oberflächliche Verletzung des Rumpfes, Höhe nicht näher bezeichnet",1209.5,1214.5,1152,3388.5
"T149","Verletzung, nicht näher bezeichnet",1209.5,1214.5,1643,2896
"T228","Verbrennung Grad 2b der Schulter und des Armes, ausgenommen Handgelenk und Hand",1209.5,1214.5,2483,2589.5
"T302","Verbrennung 2. Grades, Körperregion nicht näher bezeichnet",1209.5,1214.5,3140,3466.5
"T809","Nicht näher bezeichnete Komplikation nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",1209.5,1214.5,2638,1878.5
"T812","Versehentliche Stich- oder Risswunde während eines Eingriffes, anderenorts nicht klassifiziert",1209.5,1214.5,1431,2896
"U523","Frührehabilitations-Barthel-Index: weniger als -200 Punkte",1209.5,1214.5,1244,1727.5
"Z036","Beobachtung bei Verdacht auf toxische Wirkung von aufgenommenen Substanzen",1209.5,1214.5,3442,2810.5
"Z467","Versorgen mit und Anpassen eines orthopädischen Hilfsmittels",1209.5,1214.5,2287,2006.5
"Z519","Medizinische Behandlung, nicht näher bezeichnet",1209.5,1214.5,1257,2526
"Z833","Diabetes mellitus in der Familienanamnese",1209.5,1214.5,2254,3205.5
"Z923","Bestrahlung in der Eigenanamnese",1209.5,1214.5,2997,2990
"C211","Bösartige Neubildung: Analkanal",1274,1139,1362,2896
"C759","Bösartige Neubildung: Endokrine Drüse, nicht näher bezeichnet",1276.5,1145,1125,1830.5
"C844","Peripheres T-Zell-Lymphom, nicht spezifiziert",1276.5,1145,2741,2810.5
"D050","Lobuläres Carcinoma in situ der Brustdrüse",1276.5,1145,3147,2184
"J46","Status asthmaticus",1276.5,1145,1403,1812.5
"Z380","Einling, Geburt im Krankenhaus",1279,2881,3767,3765
"C414","Bösartige Neubildung des Knochens und des Gelenkknorpels: Beckenknochen",1280,1284.5,3098,3310.5
"C138","Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche überlappend",1286,1300,2316,2659.5
"C717","Bösartige Neubildung: Hirnstamm",1286,1300,1566,1899.5
"C797","Sekundäre bösartige Neubildung der Nebenniere",1286,1300,1560,3089.5
"C848","Kutanes T-Zell-Lymphom, nicht näher bezeichnet",1286,1300,1581,1767.5
"C880","Makroglobulinämie Waldenström",1286,1300,2444,3205.5
"C921","Chronische myeloische Leukämie [CML], BCR/ABL-positiv",1286,1300,2602,3388.5
"F107","Psychische und Verhaltensstörungen durch Alkohol: Restzustand und verzögert auftretende psychotische Störung",1286,1300,2412,1678
"G570","Läsion des N. ischiadicus",1286,1300,2255,2659.5
"H491","Lähmung des N. trochlearis [IV. Hirnnerv]",1286,1300,2949,3466.5
"M083","Juvenile chronische Arthritis (seronegativ), polyartikuläre Form",1286,1300,2700,3388.5
"R295","Neurologischer Neglect",1286,1300,1647,1707.5
"C837","Burkitt-Lymphom",1292,1280.5,1373,2896
"A040","Darminfektion durch enteropathogene Escherichia coli",1561.5,1581.5,2490,3089.5
"A043","Darminfektion durch enterohämorrhagische Escherichia coli",1561.5,1581.5,2778,1338
"A046","Enteritis durch Yersinia enterocolitica",1561.5,1581.5,1412,3089.5
"A058","Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen",1561.5,1581.5,1548,2990
"A083","Enteritis durch sonstige Viren",1561.5,1581.5,3353,2659.5
"A159","Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert",1561.5,1581.5,3040,3310.5
"A182","Tuberkulose peripherer Lymphknoten",1561.5,1581.5,2657,3388.5
"A260","Haut-Erysipeloid",1561.5,1581.5,2867,3205.5
"A310","Infektion der Lunge durch sonstige Mykobakterien",1561.5,1581.5,2832,1338
"A630","Anogenitale (venerische) Warzen",1561.5,1581.5,2601,2526
"A86","Virusenzephalitis, nicht näher bezeichnet",1561.5,1581.5,2915,2896
"A878","Sonstige Virusmeningitis",1561.5,1581.5,1206,1711.5
"A90","Dengue-Fieber [Klassische Dengue]",1561.5,1581.5,3235,3205.5
"A985","Hämorrhagisches Fieber mit renalem Syndrom",1561.5,1581.5,2420,2466
"B003","Meningitis durch Herpesviren",1561.5,1581.5,2614,3310.5
"B009","Infektion durch Herpesviren, nicht näher bezeichnet",1561.5,1581.5,1275,1338
"B020","Zoster-Enzephalitis",1561.5,1581.5,1288,2256.5
"B052","Masern, kompliziert durch Pneumonie",1561.5,1581.5,2707,1767.5
"B09","Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist",1561.5,1581.5,1704,2348.5
"B169","Akute Virushepatitis B ohne Delta-Virus und ohne Coma hepaticum",1561.5,1581.5,1637,2526
"B259","Zytomegalie, nicht näher bezeichnet",1561.5,1581.5,2371,2733.5
"B278","Sonstige infektiöse Mononukleose",1561.5,1581.5,2644,3089.5
"B348","Sonstige Virusinfektionen nicht näher bezeichneter Lokalisation",1561.5,1581.5,2289,3089.5
"B351","Tinea unguium",1561.5,1581.5,3309,3089.5
"B500","Malaria tropica mit zerebralen Komplikationen",1561.5,1581.5,2909,3089.5
"B54","Malaria, nicht näher bezeichnet",1561.5,1581.5,2721,3089.5
"B580","Augenerkrankung durch Toxoplasmen",1561.5,1581.5,1633,2006.5
"B779","Askaridose, nicht näher bezeichnet",1561.5,1581.5,1684,3310.5
"C031","Bösartige Neubildung: Unterkieferzahnfleisch",1561.5,1581.5,2403,2256.5
"C048","Bösartige Neubildung: Mundboden, mehrere Teilbereiche überlappend",1561.5,1581.5,3363,3205.5
"C050","Bösartige Neubildung: Harter Gaumen",1561.5,1581.5,1501,2029
"C091","Bösartige Neubildung: Gaumenbogen (vorderer) (hinterer)",1561.5,1581.5,2336,3205.5
"C101","Bösartige Neubildung: Vorderfläche der Epiglottis",1561.5,1581.5,2892,3205.5
"C111","Bösartige Neubildung: Hinterwand des Nasopharynx",1561.5,1581.5,2440,3089.5
"C119","Bösartige Neubildung: Nasopharynx, nicht näher bezeichnet",1561.5,1581.5,2532,2990
"C164","Bösartige Neubildung: Pylorus",1561.5,1581.5,1504,1917
"C179","Bösartige Neubildung: Dünndarm, nicht näher bezeichnet",1561.5,1581.5,2553,2896
"C248","Bösartige Neubildung: Gallenwege, mehrere Teilbereiche überlappend",1561.5,1581.5,1701,1741
"C482","Bösartige Neubildung: Peritoneum, nicht näher bezeichnet",1561.5,1581.5,2580,1878.5
"C491","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter",1561.5,1581.5,1406,1703
"C493","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Thorax",1561.5,1581.5,1655,2896
"C498","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, mehrere Teilbereiche überlappend",1561.5,1581.5,1705,1754
"C506","Bösartige Neubildung: Recessus axillaris der Brustdrüse",1561.5,1581.5,2427,2148
"C512","Bösartige Neubildung der Vulva: Klitoris",1561.5,1581.5,1498,1711.5
"C55","Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet",1561.5,1581.5,2559,1338
"C58","Bösartige Neubildung der Plazenta",1561.5,1581.5,1527,1338
"C696","Bösartige Neubildung: Orbita",1561.5,1581.5,2482,2117
"C763","Bösartige Neubildung ungenau bezeichneter Lokalisationen: Becken",1561.5,1581.5,2362,3310.5
"C781","Sekundäre bösartige Neubildung des Mediastinums",1561.5,1581.5,2658,2659.5
"C841","Sézary-Syndrom",1561.5,1581.5,2475,2659.5
"C847","Anaplastisches großzelliges Lymphom, ALK-negativ",1561.5,1581.5,2485,2466
"C849","Reifzelliges T/NK-Zell-Lymphom, nicht näher bezeichnet",1561.5,1581.5,2456,2810.5
"C866","Primäre kutane CD30-positive T-Zell-Proliferationen",1561.5,1581.5,1445,1338
"C931","Chronische myelomonozytäre Leukämie",1561.5,1581.5,2985,2990
"C942","Akute Megakaryoblastenleukämie",1561.5,1581.5,2521,1899.5
"C950","Akute Leukämie nicht näher bezeichneten Zelltyps",1561.5,1581.5,2330,1899.5
"C965","Multifokale und unisystemische Langerhans-Zell-Histiozytose",1561.5,1581.5,1292,1338
"D002","Carcinoma in situ: Magen",1561.5,1581.5,2250,2589.5
"D042","Carcinoma in situ: Haut des Ohres und des äußeren Gehörganges",1561.5,1581.5,2261,2117
"D057","Sonstiges Carcinoma in situ der Brustdrüse",1561.5,1581.5,1707,2217.5
"D061","Carcinoma in situ: Ektozervix",1561.5,1581.5,1068,1958.5
"D075","Carcinoma in situ: Prostata",1561.5,1581.5,3160,3388.5
"D106","Gutartige Neubildung: Nasopharynx",1561.5,1581.5,1683,1812.5
"D127","Gutartige Neubildung: Rektosigmoid, Übergang",1561.5,1581.5,1487,3205.5
"D152","Gutartige Neubildung: Mediastinum",1561.5,1581.5,2555,3089.5
"D163","Gutartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der unteren Extremität",1561.5,1581.5,2903,2990
"D174","Gutartige Neubildung des Fettgewebes der intrathorakalen Organe",1561.5,1581.5,1389,3205.5
"D177","Gutartige Neubildung des Fettgewebes an sonstigen Lokalisationen",1561.5,1581.5,1181,1668.5
"D211","Sonstige gutartige Neubildungen: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter",1561.5,1581.5,1679,2990
"D236","Sonstige gutartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter",1561.5,1581.5,3130,2990
"D239","Sonstige gutartige Neubildungen: Haut, nicht näher bezeichnet",1561.5,1581.5,1652,2184
"D261","Sonstige gutartige Neubildungen: Corpus uteri",1561.5,1581.5,3459,3089.5
"D281","Gutartige Neubildung: Vagina",1561.5,1581.5,1392,1338
"D290","Gutartige Neubildung: Penis",1561.5,1581.5,2293,1776
"D292","Gutartige Neubildung: Hoden",1561.5,1581.5,2443,2896
"D304","Gutartige Neubildung: Urethra",1561.5,1581.5,2530,2217.5
"D330","Gutartige Neubildung: Gehirn, supratentoriell",1561.5,1581.5,1603,2408.5
"D369","Gutartige Neubildung an nicht näher bezeichneter Lokalisation",1561.5,1581.5,2682,2466
"D373","Neubildung unsicheren oder unbekannten Verhaltens: Appendix vermiformis",1561.5,1581.5,2606,2990
"D386","Neubildung unsicheren oder unbekannten Verhaltens: Atmungsorgan, nicht näher bezeichnet",1561.5,1581.5,2775,3205.5
"D390","Neubildung unsicheren oder unbekannten Verhaltens: Uterus",1561.5,1581.5,2291,2006.5
"D407","Neubildung unsicheren oder unbekannten Verhaltens: Sonstige männliche Genitalorgane",1561.5,1581.5,2729,3388.5
"D419","Neubildung unsicheren oder unbekannten Verhaltens: Harnorgan, nicht näher bezeichnet",1561.5,1581.5,2337,3089.5
"D443","Neubildung unsicheren oder unbekannten Verhaltens: Hypophyse",1561.5,1581.5,1468,2810.5
"D444","Neubildung unsicheren oder unbekannten Verhaltens: Ductus craniopharyngealis",1561.5,1581.5,2470,1682
"D483","Neubildung unsicheren oder unbekannten Verhaltens: Retroperitoneum",1561.5,1581.5,1673,1703
"D510","Vitamin-B12-Mangelanämie durch Mangel an Intrinsic-Faktor",1561.5,1581.5,1379,3089.5
"D590","Arzneimittelinduzierte autoimmunhämolytische Anämie",1561.5,1581.5,2458,2810.5
"D592","Arzneimittelinduzierte nicht-autoimmunhämolytische Anämie",1561.5,1581.5,2465,2256.5
"D598","Sonstige erworbene hämolytische Anämien",1561.5,1581.5,2754,3205.5
"D651","Disseminierte intravasale Gerinnung [DIG, DIC]",1561.5,1581.5,1320,1338
"D682","Hereditärer Mangel an sonstigen Gerinnungsfaktoren",1561.5,1581.5,2257,2990
"D689","Koagulopathie, nicht näher bezeichnet",1561.5,1581.5,1554,1958.5
"D698","Sonstige näher bezeichnete hämorrhagische Diathesen",1561.5,1581.5,2979,3310.5
"D728","Sonstige näher bezeichnete Krankheiten der Leukozyten",1561.5,1581.5,1690,2466
"D803","Selektiver Mangel an Immunglobulin-G-Subklassen [IgG-Subklassen]",1561.5,1581.5,1664,2733.5
"D831","Variabler Immundefekt mit überwiegenden immunregulatorischen T-Zell-Störungen",1561.5,1581.5,1491,3205.5
"D841","Defekte im Komplementsystem",1561.5,1581.5,1665,1679.5
